id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SERPIND1	3	0.67727	0.44686	0.759461	13275	1	-0.13617	0.76597	0.8742	1.0	15326	0	-0.13617
MYLK2	3	0.67729	0.44686	0.759461	13276	1	0.15567	0.54537	0.7144	1.0	11986	1	0.15567
KLF15	3	0.67741	0.44686	0.759461	13277	1	0.46286	0.1827	0.40205	1.0	6592	2	0.46286
AP1G1	3	0.67743	0.44686	0.759461	13278	1	-0.10329	0.89315	0.95518	1.0	17919	0	-0.10329
MAPK13	3	0.67745	0.44686	0.759461	13279	1	-0.15513	0.12632	0.32848	1.0	5237	1	-0.15513
TRPM3	3	0.67751	0.44686	0.759461	13280	1	0.27915	0.27094	0.55376	1.0	8716	2	0.27915
INMT-MINDY4	4	0.67753	0.45699	0.768101	13281	1	0.43943	0.11383	0.35413	1.0	4912	3	0.43943
CUEDC2	3	0.67759	0.44686	0.759461	13282	1	0.47847	0.15285	0.355	1.0	5907	2	0.47847
Pseudogene_55	3	0.67764	0.44775	0.760787	13283	1	0.29512	0.17821	0.39592	1.0	6495	2	0.29512
MXD1	3	0.6777	0.44865	0.76162	13284	1	0.35244	0.22017	0.46859	1.0	7471	2	0.35244
GALP	3	0.67772	0.44865	0.76162	13285	1	0.23281	0.30382	0.58615	1.0	9506	2	0.23281
ADGRG7	3	0.67776	0.44865	0.76162	13286	1	0.12789	0.39761	0.62316	1.0	10420	1	0.12789
REG1B	3	0.67778	0.44865	0.76162	13287	1	0.60036	0.12217	0.32128	1.0	5132	2	0.60036
GPR161	3	0.67782	0.44865	0.76162	13288	1	0.74885	0.007623	0.029061	0.935546	673	2	0.74885
MYOC	3	0.67794	0.44865	0.76162	13289	1	0.26277	0.25831	0.53141	1.0	8414	2	0.26277
PIK3C2B	3	0.67798	0.44865	0.76162	13290	1	0.092731	0.36584	0.60926	1.0	10087	1	0.092731
WFDC1	3	0.678	0.44865	0.76162	13291	1	0.088149	0.41427	0.63234	1.0	10578	1	0.088149
HLX-AS1	2	0.67814	0.52204	0.822376	13292	0	0.0081966	0.577	0.70914	1.0	12371	1	0.0081966
GAGE10	3	0.67815	0.44865	0.76162	13293	1	-0.16849	0.36748	0.60926	1.0	10101	1	-0.16849
GAGE2A	3	0.67815	0.44865	0.76162	13294	1	-0.24114	0.91079	0.96633	1.0	18271	0	-0.24114
LRP10	3	0.67819	0.44865	0.76162	13295	1	0.52007	0.12617	0.32765	1.0	5232	2	0.52007
POMK	3	0.67829	0.44865	0.76162	13296	1	0.035434	0.21829	0.46443	1.0	7437	1	0.035434
Pseudogene_374	3	0.67839	0.44955	0.763081	13297	1	0.44355	0.1914	0.41958	1.0	6811	2	0.44355
HEMK1	3	0.67846	0.45044	0.764196	13298	1	-0.28994	0.63269	0.76537	1.0	13152	1	-0.28994
NFKBIA	3	0.67864	0.45044	0.764196	13299	1	0.41305	0.052599	0.18868	1.0	3278	2	0.41305
PLEKHB2	3	0.67874	0.45044	0.764196	13300	1	0.61287	0.095525	0.26871	1.0	4408	2	0.61287
RAPSN	3	0.67876	0.45044	0.764196	13301	1	0.30627	0.27348	0.55921	1.0	8765	2	0.30627
EVI2A	6	0.67882	0.46916	0.78166	13302	2	0.041439	0.22842	0.59193	1.0	7676	2	0.041439
RHO	3	0.67882	0.45044	0.764196	13303	1	0.62864	0.080009	0.23901	1.0	4009	2	0.62864
Pseudogene_74	3	0.67887	0.45133	0.76564	13304	1	0.2116	0.17821	0.39592	1.0	6496	1	0.2116
