id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Tlr4	20	0.38875	0.79688	1.0	2196	7	-3.1855	0.091672	0.078451	0.803873	256	0	-3.1855
Taar1	19	0.38896	0.79165	1.0	2197	9	-3.5582	0.273	0.26436	0.859701	772	0	-3.5582
Olfr1254	19	0.38896	0.79165	1.0	2198	9	-3.5399	0.93145	0.90925	0.979513	2645	0	-3.5399
Olfr502	19	0.38915	0.79191	1.0	2199	10	-3.9011	0.47253	0.40094	0.864664	1323	0	-3.9011
Ano1	20	0.38953	0.79753	1.0	2200	11	-3.8751	0.46789	0.40051	0.864664	1312	0	-3.8751
Ceacam2	20	0.39021	0.79776	1.0	2201	7	-3.3821	0.061936	0.04659	0.727615	179	0	-3.3821
Slc10a2	20	0.39053	0.79797	1.0	2202	9	-3.6467	0.53747	0.47557	0.893018	1511	0	-3.6467
Gpr12	20	0.39058	0.79855	1.0	2203	10	-3.9221	0.4756	0.40662	0.864664	1326	0	-3.9221
Olfr31	20	0.39154	0.79943	1.0	2204	10	-3.8569	0.93111	0.90581	0.979345	2643	0	-3.8569
Slc7a2	20	0.39197	0.79965	1.0	2205	9	-3.5291	0.061936	0.04659	0.727615	175	0	-3.5291
Egfr	20	0.39197	0.79965	1.0	2206	8	-3.5565	0.2019	0.19707	0.859701	572	0	-3.5565
Cd74	20	0.39205	0.80011	1.0	2207	11	-3.9263	0.56322	0.50348	0.893438	1568	0	-3.9263
Opn1sw	20	0.39205	0.80011	1.0	2208	11	-3.8818	0.71961	0.6518	0.921069	2005	0	-3.8818
Ldlrad4	20	0.39205	0.80011	1.0	2209	11	-3.882	0.92696	0.89876	0.97593	2626	0	-3.882
Lhfpl1	20	0.39205	0.80011	1.0	2210	11	-3.8876	0.55412	0.49492	0.893438	1555	0	-3.8876
Atg9a	20	0.39212	0.80058	1.0	2211	9	-3.7843	0.33621	0.30743	0.859701	966	0	-3.7843
Pcdhgc5	18	0.39254	0.78756	1.0	2212	10	-3.9156	0.59543	0.52534	0.893438	1661	0	-3.9156
Olfr1513	19	0.39341	0.79462	1.0	2213	10	-3.8919	0.57968	0.51132	0.893438	1624	0	-3.8919
