id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Cldn15	18	0.083899	0.32084	0.952525	959	9	-3.8552	0.57471	0.50572	0.90617	1608	0	-3.8552
Gjd2	20	0.084063	0.33319	0.952525	960	10	-3.952	0.036104	0.039129	0.873617	105	0	-3.952
Olfr17	20	0.084244	0.33397	0.952525	961	12	-4.1207	0.93166	0.90913	0.98346	2638	0	-4.1207
Cd209f	20	0.084321	0.33436	0.952525	962	11	-4.1251	0.5401	0.48865	0.90617	1518	0	-4.1251
Neto2	20	0.084321	0.33436	0.952525	963	11	-4.1569	0.20551	0.20524	0.882295	570	0	-4.1569
Olfr520	20	0.084377	0.33455	0.952525	964	9	-3.7995	0.5237	0.47011	0.90617	1467	0	-3.7995
Itga4	20	0.084377	0.33455	0.952525	965	9	-3.6958	0.30865	0.29751	0.882295	867	0	-3.6958
Notch3	19	0.084512	0.33388	0.952525	966	9	-3.8287	0.35324	0.32198	0.882295	1011	0	-3.8287
Flt1	20	0.084517	0.33486	0.952525	967	11	-4.0063	0.79967	0.74509	0.946427	2253	0	-4.0063
Olfr681	18	0.084573	0.3221	0.952525	968	6	-3.4414	0.2403	0.24405	0.882295	668	0	-3.4414
Mrgpra2b	8	0.0846	0.26267	0.946727	969	6	-4.2196	0.95853	0.94751	0.992009	2717	0	-4.2196
Nkain1	20	0.084667	0.33487	0.952525	970	13	-4.0575	0.85603	0.81196	0.963694	2414	0	-4.0575
Lrig3	19	0.084764	0.33454	0.952525	971	9	-3.8417	0.83217	0.78885	0.961935	2341	0	-3.8417
Atp1a4	18	0.084784	0.32321	0.952525	972	12	-3.9791	0.74155	0.68539	0.930045	2083	0	-3.9791
Lrp6	18	0.084849	0.32325	0.952525	973	9	-3.7661	0.9057	0.87728	0.975309	2558	0	-3.7661
Tlr9	18	0.08489	0.32341	0.952525	974	9	-3.6735	0.18702	0.18778	0.882295	521	0	-3.6735
Olfr3	20	0.085036	0.33531	0.952525	975	10	-4.0354	0.49523	0.43411	0.893868	1376	0	-4.0354
Bdkrb2	20	0.085049	0.33561	0.952525	976	12	-4.1836	0.95325	0.93739	0.992009	2697	0	-4.1836
Clec2d	18	0.085241	0.32369	0.952525	977	8	-3.4778	0.75109	0.69209	0.930045	2101	0	-3.4778
Csf3r	20	0.085252	0.33623	0.952525	978	10	-3.8539	0.15728	0.16058	0.882295	444	0	-3.8539
Slc10a1	20	0.085371	0.33653	0.952525	979	11	-3.9256	0.14848	0.15732	0.882295	413	0	-3.9256
Tmem132a	20	0.085534	0.3368	0.952525	980	12	-4.1139	0.54861	0.49816	0.90617	1541	0	-4.1139
Fzd7	20	0.085534	0.3368	0.952525	981	12	-4.1471	0.24248	0.24525	0.882295	682	0	-4.1471
Abcg5	20	0.085687	0.33709	0.952525	982	13	-4.0657	0.74592	0.68421	0.930045	2088	0	-4.0657
Olfr464	20	0.085687	0.33709	0.952525	983	13	-4.0993	0.96553	0.95175	0.992009	2742	0	-4.0993
Slc22a28	17	0.08583	0.32506	0.952525	984	9	-4.0304	0.44948	0.39045	0.884347	1280	0	-4.0304
Kirrel3	18	0.085985	0.32583	0.952525	985	10	-4.1872	0.80236	0.76037	0.953968	2259	0	-4.1872
Kcnmb2	18	0.086059	0.3262	0.952525	986	8	-3.7016	0.12167	0.13123	0.882295	344	0	-3.7016
Unc93b1	20	0.08657	0.34096	0.952525	987	10	-3.9509	0.72306	0.66211	0.929375	2023	0	-3.9509
Rxfp1	20	0.086607	0.34115	0.952525	988	12	-4.0835	0.69868	0.6257	0.911911	1956	0	-4.0835
