,sgRNA,gene,z_scored_sgRNA_lfc
18026,Vienna_GALK1_2-Vienna_GALK1_5,GALK1,-2.566695746261102
18027,Vienna_GALK1_3-Vienna_GALK1_6,GALK1,-2.6362535210511986
18028,Vienna_GALK2_1-Vienna_GALK2_4,GALK2,-0.38097703925990967
18029,Vienna_GALK2_2-Vienna_GALK2_5,GALK2,-0.31052323451045516
18030,Vienna_GALK2_3-Vienna_GALK2_6,GALK2,-1.242961640136565
18031,Vienna_GALM_1-Vienna_GALM_4,GALM,-1.2148441155688159
18032,Vienna_GALM_2-Vienna_GALM_5,GALM,-0.3475919801854477
18033,Vienna_GALM_3-Vienna_GALM_6,GALM,-1.792085630171817
18034,Vienna_GALNS_1-Vienna_GALNS_4,GALNS,-0.41563729653026854
18035,Vienna_GALNS_2-Vienna_GALNS_5,GALNS,-2.654757325835498
18036,Vienna_GALNS_3-Vienna_GALNS_6,GALNS,-2.2017863857227074
18037,Vienna_GALNT1_1-Vienna_GALNT1_4,GALNT1,0.11040824799194791
18038,Vienna_GALNT10_1-Vienna_GALNT10_4,GALNT10,-0.13737226739406483
18039,Vienna_GALNT10_2-Vienna_GALNT10_5,GALNT10,-0.07857748992053674
18040,Vienna_GALNT10_3-Vienna_GALNT10_6,GALNT10,-1.2233167519279584
18041,Vienna_GALNT11_1-Vienna_GALNT11_4,GALNT11,-0.6224840161992002
18042,Vienna_GALNT11_2-Vienna_GALNT11_5,GALNT11,-1.3767989992290368
18043,Vienna_GALNT11_3-Vienna_GALNT11_6,GALNT11,0.17096671649544204
18044,Vienna_GALNT12_1-Vienna_GALNT12_4,GALNT12,-2.415573883911888
18045,Vienna_GALNT12_2-Vienna_GALNT12_5,GALNT12,-0.6989745730975256
18046,Vienna_GALNT12_3-Vienna_GALNT12_6,GALNT12,-2.0299980558290978
18047,Vienna_GALNT13_1-Vienna_GALNT13_4,GALNT13,-6.305267454468184
18048,Vienna_GALNT13_2-Vienna_GALNT13_5,GALNT13,-4.045960137089385
18049,Vienna_GALNT13_3-Vienna_GALNT13_6,GALNT13,-3.1021544113043213
18050,Vienna_GALNT14_1-Vienna_GALNT14_4,GALNT14,-0.7270331712253982
18051,Vienna_GALNT14_2-Vienna_GALNT14_5,GALNT14,-0.7598128318730177
18052,Vienna_GALNT14_3-Vienna_GALNT14_6,GALNT14,-0.46427941057293814
18053,Vienna_GALNT15_1-Vienna_GALNT15_4,GALNT15,-0.024855925772756114
18054,Vienna_GALNT15_2-Vienna_GALNT15_5,GALNT15,-0.8152466714290917
18055,Vienna_GALNT16_1-Vienna_GALNT16_4,GALNT16,-1.2586717220075263
18056,Vienna_GALNT16_2-Vienna_GALNT16_5,GALNT16,-0.26268103146240906
18057,Vienna_GALNT16_3-Vienna_GALNT16_6,GALNT16,-0.06067834223309154
18058,Vienna_GALNT18_1-Vienna_GALNT18_4,GALNT18,-0.2631816174781859
18059,Vienna_GALNT18_2-Vienna_GALNT18_5,GALNT18,-1.2793715487344142
18060,Vienna_GALNT18_3-Vienna_GALNT18_6,GALNT18,-1.6061535558263114
18061,Vienna_GALNT2_1-Vienna_GALNT2_4,GALNT2,0.23250503094296443
18062,Vienna_GALNT2_2-Vienna_GALNT2_5,GALNT2,-8.07222520740235
18063,Vienna_GALNT2_3-Vienna_GALNT2_6,GALNT2,-1.6102153214241357
18064,Vienna_GALNT3_1-Vienna_GALNT3_4,GALNT3,-0.2534404901842987
18065,Vienna_GALNT3_2-Vienna_GALNT3_5,GALNT3,1.7252863421805658
18066,Vienna_GALNT3_3-Vienna_GALNT3_6,GALNT3,-0.4692093951717716
18067,Vienna_GALNT4_1-Vienna_GALNT4_4,GALNT4,-0.2051034660384504
18068,Vienna_GALNT4_2-Vienna_GALNT4_5,GALNT4,0.21287469774055814
18069,Vienna_GALNT4_3-Vienna_GALNT4_6,GALNT4,0.4676781690914699
18070,Vienna_GALNT5_1-Vienna_GALNT5_4,GALNT5,-1.6177054619411864
18071,Vienna_GALNT5_2-Vienna_GALNT5_5,GALNT5,-1.9974227820334611
18072,Vienna_GALNT5_3-Vienna_GALNT5_6,GALNT5,-1.8510693512166163
18073,Vienna_GALNT6_1-Vienna_GALNT6_4,GALNT6,-1.0229420890659084
18074,Vienna_GALNT6_2-Vienna_GALNT6_5,GALNT6,-3.5377319717943205
18075,Vienna_GALNT6_3-Vienna_GALNT6_6,GALNT6,-0.319990952639165
18076,Vienna_GALNT7_1-Vienna_GALNT7_4,GALNT7,0.33608279488327525
