sgRNA	gene	vienna_v1_single_top3	TECHDEV0012_Vienna_01_01_17	TECHDEV0012_Vienna_01_01_16
Vienna-ACIN1-1	ACIN1	83	36	57
Vienna-ACIN1-2	ACIN1	96	54	115
Vienna-ACIN1-3	ACIN1	59	51	41
Vienna-ACKR1-1	ACKR1	47	360	341
Vienna-ACKR1-2	ACKR1	61	257	157
Vienna-ACKR1-3	ACKR1	97	391	416
Vienna-ACKR2-1	ACKR2	41	144	33
Vienna-ACKR2-2	ACKR2	98	473	675
Vienna-ACKR2-3	ACKR2	56	229	394
Vienna-ACKR3-1	ACKR3	79	1206	1087
Vienna-ACKR3-2	ACKR3	55	20	27
Vienna-ACKR3-3	ACKR3	58	226	132
Vienna-ACKR4-1	ACKR4	50	265	198
Vienna-ACKR4-2	ACKR4	41	71	63
Vienna-ACKR4-3	ACKR4	68	242	328
Vienna-ACLY-1	ACLY	62	303	62
Vienna-ACLY-2	ACLY	95	67	81
Vienna-ACLY-3	ACLY	95	144	103
Vienna-ACMSD-1	ACMSD	64	385	376
Vienna-ACMSD-2	ACMSD	55	173	289
Vienna-ACMSD-3	ACMSD	4	65	27
Vienna-ACO1-1	ACO1	59	366	193
Vienna-ACO1-2	ACO1	12	165	196
Vienna-ACO1-3	ACO1	71	455	137
Vienna-ACO2-1	ACO2	90	482	348
Vienna-ACO2-2	ACO2	83	105	82
Vienna-ACO2-3	ACO2	57	353	404
Vienna-ACOT1-1	ACOT1	138	904	705
Vienna-ACOT1-2	ACOT1	55	94	43
Vienna-ACOT1-3	ACOT1	197	601	461
Vienna-ACOT11-1	ACOT11	81	776	452
Vienna-ACOT11-2	ACOT11	89	383	407
Vienna-ACOT11-3	ACOT11	58	394	260
Vienna-ACOT12-1	ACOT12	110	510	626
Vienna-ACOT12-2	ACOT12	60	253	252
Vienna-ACOT12-3	ACOT12	61	590	347
Vienna-ACOT13-1	ACOT13	100	638	483
Vienna-ACOT13-2	ACOT13	54	229	185
Vienna-ACOT13-3	ACOT13	47	415	166
Vienna-ACOT2-1	ACOT2	94	717	680
Vienna-ACOT2-2	ACOT2	101	856	399
Vienna-ACOT2-3	ACOT2	73	664	234
Vienna-ACOT4-1	ACOT4	4	15	20
Vienna-ACOT4-2	ACOT4	99	580	362
Vienna-ACOT4-3	ACOT4	72	841	355
Vienna-ACOT6-1	ACOT6	73	306	201
Vienna-ACOT6-2	ACOT6	57	185	140
Vienna-ACOT6-3	ACOT6	75	93	244
Vienna-ACOT7-1	ACOT7	71	198	279
Vienna-ACOT7-2	ACOT7	93	385	442
Vienna-ACOT7-3	ACOT7	67	283	235
Vienna-ACOT8-1	ACOT8	97	512	685
Vienna-ACOT8-2	ACOT8	129	369	212
Vienna-ACOT8-3	ACOT8	43	313	511
Vienna-ACOT9-1	ACOT9	53	298	253
Vienna-ACOT9-2	ACOT9	53	428	315
Vienna-ACOT9-3	ACOT9	41	364	232
Vienna-ACOX1-1	ACOX1	94	77	64
Vienna-ACOX1-2	ACOX1	36	1	1
Vienna-ACOX1-3	ACOX1	107	8	10
Vienna-ACOX2-1	ACOX2	43	11	1
Vienna-ACOX2-2	ACOX2	83	603	866
Vienna-ACOX2-3	ACOX2	106	81	124
Vienna-ACOX3-1	ACOX3	129	953	645
Vienna-ACOX3-2	ACOX3	63	419	347
Vienna-ACOX3-3	ACOX3	52	146	226
Vienna-ACOXL-1	ACOXL	91	477	403
Vienna-ACOXL-2	ACOXL	108	368	203
Vienna-ACOXL-3	ACOXL	80	377	317
Vienna-ACP1-1	ACP1	53	374	393
Vienna-ACP1-2	ACP1	100	745	886
Vienna-ACP1-3	ACP1	24	135	121
Vienna-ACP2-1	ACP2	83	487	551
Vienna-ACP2-2	ACP2	106	232	168
Vienna-ACP2-3	ACP2	82	305	501
Vienna-ACP5-1	ACP5	109	574	278
Vienna-ACP5-2	ACP5	123	1184	764
Vienna-ACP5-3	ACP5	107	1109	1055
Vienna-ACP6-1	ACP6	78	1135	688
Vienna-ACP6-2	ACP6	66	250	369
Vienna-ACP6-3	ACP6	113	244	206
Vienna-ACP7-1	ACP7	56	226	254
Vienna-ACP7-2	ACP7	97	1009	1083
Vienna-ACP7-3	ACP7	72	307	151
Vienna-ACPP-1	ACPP	111	975	681
Vienna-ACPP-2	ACPP	76	455	385
Vienna-ACPP-3	ACPP	34	378	139
Vienna-ACPT-1	ACPT	64	437	273
Vienna-ACPT-2	ACPT	116	1116	910
Vienna-ACPT-3	ACPT	144	359	320
Vienna-ACR-1	ACR	125	855	408
Vienna-ACR-2	ACR	101	398	448
Vienna-ACR-3	ACR	65	651	373
Vienna-ACRBP-1	ACRBP	94	440	501
Vienna-ACRBP-2	ACRBP	96	0	2
Vienna-ACRBP-3	ACRBP	63	324	519
Vienna-ACRC-1	ACRC	91	679	679
Vienna-ACRC-2	ACRC	81	148	87
Vienna-ACRC-3	ACRC	89	375	382
Vienna-ACRV1-1	ACRV1	126	687	516
Vienna-ACRV1-2	ACRV1	53	622	601
Vienna-ACRV1-3	ACRV1	40	324	303
Vienna-ACSBG1-1	ACSBG1	97	146	59
Vienna-ACSBG1-2	ACSBG1	84	461	470
Vienna-ACSBG1-3	ACSBG1	53	534	430
Vienna-ACSBG2-1	ACSBG2	62	271	194
Vienna-ACSBG2-2	ACSBG2	70	357	297
Vienna-ACSBG2-3	ACSBG2	68	115	115
Vienna-ACSF2-1	ACSF2	67	242	225
Vienna-ACSF2-2	ACSF2	129	562	649
Vienna-ACSF2-3	ACSF2	6	268	91
Vienna-ACSF3-1	ACSF3	163	2037	1226
Vienna-ACSF3-2	ACSF3	78	1034	431
Vienna-ACSF3-3	ACSF3	67	122	131
Vienna-ACSL1-1	ACSL1	67	857	632
Vienna-ACSL1-2	ACSL1	85	858	340
