Target Gene Symbol,condition,n_sgrnas,gene_zscore,empirical_pvalue,FDR
SLC6A19,Jacquere A375,3,-0.01894229628930382,0.46838125482377935,0.4894596695409066
RAB37,Jacquere A375,3,0.8066973112054746,0.21777224408557966,0.37040036472801796
RAB36,Jacquere A375,3,1.1437052305385549,0.1191593774006515,0.27777318014924396
SLC6A2,Jacquere A375,3,1.1130212139848448,0.12680108237248242,0.28662961189535574
RAB35,Jacquere A375,3,1.2539931421703139,0.09415809513250714,0.24504215190015813
CALM3,Jacquere A375,3,-0.2880179396661306,0.360639453937065,0.4482957570644746
RAB34,Jacquere A375,3,-2.4742672219185167,0.016611196671273542,0.08112151488325738
SLC6A20,Jacquere A375,3,-0.5562378072964511,0.26908009188708903,0.402103166816215
RAB33B,Jacquere A375,3,1.0693646226020614,0.13817686654113345,0.2990285498354218
RAB33A,Jacquere A375,3,0.2627509544647614,0.41674773938401644,0.4699208354761104
CALML3,Jacquere A375,3,0.15280242465568425,0.46079240864013415,0.4867171727420806
B3GNT4,Jacquere A375,3,0.1300636376320852,0.4700638156831015,0.48993203724318696
RAB32,Jacquere A375,3,0.8023806556096912,0.21921380996942647,0.37116637046937934
SLC6A3,Jacquere A375,3,0.9173301421960003,0.1821330363632861,0.3406205621886627
RAB3A,Jacquere A375,3,-1.1343593292937646,0.1308237642943646,0.29065562699944414
RAB31,Jacquere A375,3,1.1124719575214717,0.12694055229916684,0.28682265778256005
CALM2,Jacquere A375,6,-0.6641896231043727,0.2373361578342844,0.3831433302712782
SLC6A17,Jacquere A375,3,-1.411427116549109,0.0903835763708564,0.23988751683239687
RAB41,Jacquere A375,3,0.38195595261598625,0.37059988559039736,0.4519487570918947
CALHM4,Jacquere A375,3,1.708433763388614,0.03072860506667286,0.12695293436715954
RAB40C,Jacquere A375,3,-0.027372891947508315,0.464886328584421,0.48826525794351483
SLC6A13,Jacquere A375,3,0.030630736102551657,0.4889448004318055,0.49622830906317994
RAB40B,Jacquere A375,3,-1.213489322320682,0.11775426698720265,0.27644041497160243
RAB40AL,Jacquere A375,3,2.2334658689546507,0.008194613813086076,0.04683046337190235
CALHM5,Jacquere A375,3,1.5203572427090692,0.04971747574393732,0.1729085222942469
B3GNT7,Jacquere A375,3,1.2648172511007147,0.09191416112422522,0.24182598696775387
RAB40A,Jacquere A375,3,0.24142479710189957,0.4251809036435724,0.47336762654981707
SLC6A14,Jacquere A375,3,0.6618819751919891,0.2677291868931595,0.4012250594452964
RAB3IP,Jacquere A375,6,-2.3787078769681154,0.020118032247389728,0.09359450257780369
RAB3IL1,Jacquere A375,3,-3.529961256987178,0.002974782939391523,0.021082805340998236
CALHM6,Jacquere A375,3,1.3033754137983944,0.08422625654671458,0.2309338335269074
SLC6A15,Jacquere A375,3,-0.8403970705332605,0.19137494387740692,0.3488136655071256
RAB3GAP2,Jacquere A375,3,-5.214420381389206,9.702395891167194e-07,1.0242544199735159e-05
RAB3GAP1,Jacquere A375,3,-5.665728292229491,4.804197767988046e-10,5.669648077805247e-09
SLC6A16,Jacquere A375,3,0.06809373595651227,0.49554548231521584,0.49864489172358395
RAB3D,Jacquere A375,3,-1.5047257301859247,0.07992429812236117,0.22492223897326016
CALM1,Jacquere A375,3,-0.7419676572202658,0.21615620566462643,0.3696023341096028
RAB3C,Jacquere A375,3,-2.2805974115778525,0.02440161569978268,0.10793554918433013
B3GNT6,Jacquere A375,3,0.3213412612475489,0.3938601374377226,0.4609154123257796
RAB3B,Jacquere A375,3,-0.18231181910433897,0.4016251353046544,0.4647387327362865
SLC6A12,Jacquere A375,3,-2.4085060075859115,0.01895577201336773,0.08958185442130287
RAB30,Jacquere A375,3,-0.5646487862352159,0.26650667892975244,0.40056469950564766
